Município;Telefone da Prefeitura;Secretaria de Assistência Social;Secretário(a);Contato da Secretaria;Endereço da Secretaria;Site da Prefeitura;Status do dado;Fonte;Observação
Quirinópolis;(64) 3615-9100;SECRETARIA MUNICIPAL DE PROMOÇÃO E ASSISTÊNCIA SOCIAL;GEICIANE SOUZA FERREIRA SILVA;Oculto para proteção de dados (LGPD);AVENIDA Garibalde Teixeira, 185, Centro, CEP: 75.860-000, QUIRINOPOLIS/GO;-;Confirmado via web;CadSUAS + https://quirinopolis.go.gov.br/quirinopolis-reforca-combate-a-violencia-contra-a-mulher-com-evento-do-agosto-lilas/;"2025-08 — Notícia do site oficial da prefeitura de 26/08/2025 cita 'Primeira-Dama e Secretária de Ação Social' Geiciane Souza (evento Agosto Lilás). Mesma pessoa do CadSUAS (GEICIANE SOUZA FERREIRA SILVA); primeira-dama do prefeito Anderson de Paula (PDT). A pasta aparece no site como Secretaria Municipal de Promoção e Assistência Social; não há contato direto da secretaria publicado (apenas ouvidoria@quirinopolis.go.gov.br)."
Rialma;(62) 3397-1555;SECRETARIA MUNICIPAL DE AÇÃO E PROMOÇÃO SOCIAL;Aline Gomes;(62) 3397-1555;RUA PEDRO FELINTO REGO, 780, centro, CEP: 76.310-000, RIALMA/GO;-;Atualizado via web;https://portal.al.go.leg.br/noticias/155589/programa-alego-social-recebeu-a-primeira-dama-e-secretaria-de-assistencia-social-de-rialma-medica-aline-gomes;2025-06 — O próprio CadSUAS já registrava o fim do mandato de Marluce Percussor Rego Brandão em 27/02/2023. Matéria do Portal da Alego de 09/06/2025 identifica a médica Aline Gomes, primeira-dama e esposa do prefeito Lucas Chaves ('Dr. Lucas', UB, empossado 01/2025), como secretária de Assistência Social de Rialma, no cargo desde o início de 2025 ('menos de seis meses na cadeira'). A página da secretaria no site oficial publica só o contato geral da prefeitura: (62) 3397-1555 (WhatsApp) / sic@rialma.go.gov.br.
Rianápolis;(62) 3348-3130;SECRETARIA MUNICIPAL DE AÇÃO E PROMOÇÃO SOCIAL;Kelly Maria da Costa;(62) 3348-3139 / (62) 3348-3139 / assistenciasocial@rianapolis.go.gov.br;PRAÇA Antonio de Morais Rodrigues, 393, Centro, CEP: 76.315-000, RIANAPOLIS/GO;-;Confirmado via web;CadSUAS + https://rianapolis.go.gov.br/estrutura/secretaria-de-acao-e-promocao-social/;"2026-08 — A página atual da Secretaria de Ação e Promoção Social no site oficial (acessada em 08/2026, sem data de publicação) lista Kelly Maria da Costa como titular, com telefone e e-mail próprios da pasta. Ela é primeira-dama do prefeito Gilber Roque Pereira de Miranda (PP), no cargo desde 2021 e REELEITO para 2025-2028 (posse 01/01/2025) — continuidade de gestão consistente com o mandato CadSUAS até 2028. Ressalva: não foi localizada notícia datada de 2025-2026 citando-a nominalmente no cargo; a citação nominal datada mais recente é de 2021 (XI Conferência do CMAS)."
Rio Quente;(64) 3452-7000 Ramal 0;SECRETARIA MUNICIPAL DE DESENVOLVIMENTO SOCIAL, DA MULHER E DA PESSOA COM DEFICIENCIA;CLEYNNUBIA RODRIGUES DE LIMA;(64) 3452-7000;AVENIDA AV JOSÉ DIAS GUIMAARÃES, 535, CENTRO, CEP: 75.667-000, RIO QUENTE/GO;-;CadSUAS (gestão atual);CadSUAS;
Rio Verde;(64) 3602-8048;SECRETARIA MUNICIPAL DE ASSISTÊNCIA SOCIAL;LARA SANTUX ANDRADE CARRIJO;(64) 3602-8800 Ramal 8803;RUA OSÓRIO COELHO DE MORAES, 1391, JARDIM GOIÁS, CEP: 75.901-020, RIO VERDE/GO;http://www.rioverdegoias.com.br;CadSUAS (gestão atual);CadSUAS;
Rubiataba;(62) 3325-1230 Ramal 221;Secretaria Municipal de Assistencia Social;EDIR GOMES DE MORAIS SILVA;(62) 3325-1259 / 0800 002 1922 / secsocial@rubiataba.go.gov.br;AVENIDA AV.CARAIBA, 385, BELA VISTA, CEP: 76.350-000, RUBIATABA/GO;-;Confirmado via web;CadSUAS + https://rubiataba.go.gov.br/estrutura/secretaria-municipal-de-promocao-e-assistencia-social/;"2026-08 — A página atual da Secretaria Municipal de Promoção e Assistência Social no site oficial (acessada em 08/2026, sem data de publicação) lista Edir Gomes de Morais Silva como titular, com telefone e e-mail próprios da pasta. O prefeito Padre Weber Sivirino (PSD) foi REELEITO em 2024 — gestão contínua desde a nomeação de Edir em 04/2024 (CadSUAS), o que sustenta a permanência. Ressalva: nenhuma notícia datada de 2025-2026 a cita nominalmente; a confirmação apoia-se no site oficial vigente + continuidade da gestão."
Sanclerlândia;(64) 0800-00001;SECRETARIA MUNICIPAL DE ASSISTÊNCIA SOCIAL;SILVANIA MARIA DOS REIS LAGARES;Oculto para proteção de dados (LGPD);RUA Edmundo Gomes, 45, Setor ORS, CEP: 76.160-000, SANCLERLANDIA/GO;http://www.sanclerlandia.go.gov.br;CadSUAS (gestão atual);CadSUAS;
Santa Bárbara de Goiás;(62) 3683-1969;SECRETARIA MUNICIPAL DE ASSISTENCIA SOCIAL;Ana Flávia Vaz Margarida;"Oculto para proteção de dados (LGPD) / assistenciasocial@santabarbara.go.gov.br (e-mail da pasta publicado no Cadastro de Autoridades 2025 do Governo de Goiás); tel. geral da prefeitura (62) 3683-1156";PRAÇA GERONIMO BENTO, 64, CENTRO, CEP: 75.398-000, SANTA BARBARA DE GOIAS/GO;-;Confirmado via web;CadSUAS + https://goias.gov.br/governo/cadastro-de-autoridade/;2025-11 — O Cadastro de Autoridades 2025 do Governo de Goiás (atualizado 18/11/2025) lista Ana Flávia Vaz Margarida como primeira-dama do prefeito atual Job Martins de Deus (PDT, gestão 2025-2028) e vincula a ela o e-mail institucional da assistência social — consistente com o CadSUAS (mandato até 31/12/2028). Nenhuma fonte 2025-2026 cita outra pessoa no cargo. O site da prefeitura não publica o nome do titular.
Santa Cruz de Goiás;(64) 3742-1150 Ramal 1130;SECRETARIA MUNICIPAL DE ASSISTÊNCIA SOCIAL, DA IGUALDADE RACIAL E DA MULHER;SEBASTIANA LOURENÇO CORREIA DA PAZ;Oculto para proteção de dados (LGPD);RUA PADRE PREGO, 28, CENTRO, CEP: 75.220-000, SANTA CRUZ DE GOIAS/GO;-;CadSUAS (gestão atual);CadSUAS;
Santa Fé de Goiás;Oculto para proteção de dados (LGPD);SECRETARIA MUNICIPAL DE ASSISTENCIA SOCIAL;Lidiane Ferreira e Paiva;Oculto para proteção de dados (LGPD);RUA JOSE BORGES JUNIOR, 2, PRIMAVERA, CEP: 76.265-000, SANTA FE DE GOIAS/GO;-;CadSUAS (gestão atual);CadSUAS;
Santa Helena de Goiás;(64) 3641-8785 Ramal 0;SECRETARIA MUNICIPAL DE PROMOÇÃO SOCIAL;Carolina Goularte Miranda Parreira;(64) 3641-8737;AVENIDA ANTÕNIO GONÇALVES, 0, PARQUE RES. ISAURA, CEP: 75.920-000, SANTA HELENA DE GOIAS/GO;-;CadSUAS (gestão atual);CadSUAS;
Santa Isabel;(62) 3358-1218;SECRETARIA MUNICIPAL DE ASSISTENCIA SOCIAL;GIANI MARIA FERREIRA;(62) 3358-1214;PRAÇA PRAÇA ANTONIO FRANCISCO DA SILVA, SN, CENTRAL, CEP: 76.320-000, SANTA ISABEL/GO;-;CadSUAS (cadastro pré-2025, não confirmado);CadSUAS;Nada conclusivo. O mandato de Giani Maria Ferreira no CadSUAS terminou em 31/12/2024 e o prefeito atual é Levino de Souza Silva (Solidariedade, gestão 2025-2028), então o registro provavelmente está desatualizado, mas nenhuma fonte 2025-2026 informa o(a) titular atual. O site oficial descreve a secretaria sem nomear o(a) secretário(a). Contato geral da prefeitura: (62) 3358-1215 / (62) 3358-1302, prefeiturasantaisabel@yahoo.com.br (não é contato direto da secretaria).
Santa Rita do Araguaia;(64) 3635-7000 Ramal 225;SECRETARIA MUNICIPAL DA ASSISTENCIA SOCIAL;VALDENICE MARTINS VIEIRA;"(64) 3635-7000 Ramal 225 / assistenciasocialsantarita@hotmail.com (e-mail da pasta no Cadastro de Autoridades 2025 do Governo de Goiás); tel. da secretaria no site oficial: (64) 3635-7000 (WhatsApp/ligações)";RUA RUA ABILIO ALVES FERREIRA, 790, CENTRO, CEP: 75.840-000, SANTA RITA DO ARAGUAIA/GO;-;CadSUAS (cadastro pré-2025, não confirmado);CadSUAS;"Sinais conflitantes: o Cadastro de Autoridades 2025 do Governo de Goiás lista Valdenice Martins Vieira como primeira-dama do prefeito reeleito Carlos Tadeu Rocha Vieira e vincula a ela o e-mail da assistência social (favorece continuidade), MAS no Diário Municipal AGM de 15/07/2025 quem assina os atos do Fundo Municipal de Assistência Social é 'Lorena de Souza Guimarães Vieira — Gestora do FMAS'. Nenhuma fonte 2025+ cita expressamente o cargo de secretária, então o CadSUAS é mantido; recomenda-se confirmar por telefone quem é a titular (Valdenice ou Lorena)."
Santa Rita do Novo Destino;(62) 3394-0053;SECRETARIA DE ASSISTENCIA SOCIAL E SOLIDARIEDADE HUMANA;Viviane Ferreira de Souza Oliveira;(62) 3394-0053 Ramal 0;RUA Laurentino Martins Rodrigues, S /N, CENTRO, CEP: 76.395-000, SANTA RITA DO NOVO DESTINO/GO;-;CadSUAS (gestão atual);CadSUAS;
Santa Rosa de Goiás;(62) 3335-6261;SECRETARIA MUNICIPAL DE PROMOÇÃO E ASSISTENCIA SOCIAL;Nonia Leite de Bessa Lima;(62) 3335-6261;PRAÇA Praça N. Sra. da Abadia, 508, centro, CEP: 75.455-000, SANTA ROSA DE GOIAS/GO;-;CadSUAS (gestão atual);CadSUAS;
Santa Tereza de Goiás;(62) 3383-6415 Ramal 0;SECRETARIA MUNICIPAL DE ASSISTENCIA SOCIAL;MIRIAM PEREIRA DA SILVA SANTOS;"Oculto para proteção de dados (LGPD) / (62) 3383-6499; assistenciasocial@santatereza.go.gov.br (Carta de Serviços do site oficial)";PRAÇA Av. Juscelino kubitscheck, 212, RODOVIARIO, CEP: 76.480-000, SANTA TEREZA DE GOIAS/GO;http://www.santatereza.go.gov.br;Confirmado via web;CadSUAS + https://santatereza.go.gov.br/secretarias/secretaria-municipal-de-assistencia-social/;2026-08 — A Carta de Serviços do site oficial (criada em 21/01/2025, última atualização 05/08/2026) lista 'Miriam P da Silva Santos' como gestora da Secretaria Municipal de Assistência Social — mesma pessoa do CadSUAS (grafia abreviada). Prefeita atual: Leia Mendonça dos Reis Borges (União Brasil).
Santa Terezinha de Goiás;(62) 3339-6053;SECRETARIA MUNICIPAL DE ASSISTENCIA SOCIAL;Keyla José Ferreira;(62) 8132-8876;AVENIDA RUA DONA JULIA, 273, CENTRO, CEP: 76.500-000, SANTA TEREZINHA DE GOIAS/GO;-;CadSUAS (gestão atual);CadSUAS;
Santo Antônio da Barra;(64) 3626-1147;SECRETARIA MUNICIPAL DE ASSISTENCIA SOCIAL;ROSELI PEREIRA DA SILVA NASCIMENTO;(64) 3626-1171;RUA Pedro Moraes da Silva, S/N, Setor Boa Vista, CEP: 75.935-000, SANTO ANTONIO DA BARRA/GO;-;CadSUAS (gestão atual);CadSUAS;
Santo Antônio de Goiás;(62) 3535-1101 Ramal 0;SECRETARIA MUNICIPAL DE ASSISTENCIA SOCIAL;DAIANE DE FATIMA MARQUES;(62) 3535-1950;AVENIDA AV. MODESTO VAZ MACHADO, 0, VILA FLORENÇA, CEP: 75.375-000, SANTO ANTONIO DE GOIAS/GO;-;CadSUAS (gestão atual);CadSUAS;
Santo Antônio do Descoberto;(61) 3626-1289;SECRETARIA MUNICIPAL DE DESENVOLVIMENTO SOCIAL E TRANSFERÊNCIA DE RENDA;WAGNER ROBERTO DOS SANTOS;(61) 3626-7640;QUADRA ENTRE QUADRAS 41/42, 00, CENTRO, CEP: 72.900-348, SANTO ANTONIO DO DESCOBERTO/GO;-;CadSUAS (gestão atual);CadSUAS;
Senador Canedo;(62) 3275-9950 Ramal 2024;SECRETARIA MUNICIPAL DE ASSISTÊNCIA SOCIAL E CIDADANIA;MARIA BETANIA GONDIM DA COSTA;Oculto para proteção de dados (LGPD);RODOVIA GO 403 KM 9, S/N, CONJUNTO MORADA DO MORRO, CEP: 75.250-386, SENADOR CANEDO/GO;-;CadSUAS (gestão atual);CadSUAS;
Serranópolis;(64) 3668-1259;SECRETARIA MUNICIPAL DE ASSISTENCIA SOCIAL;Katia Maria Freitas Carvalho Dutra;(64) 3668-1759;AVENIDA RAMIRO TEIXEIRA, 20, CENTRO, CEP: 75.820-000, SERRANOPOLIS/GO;-;CadSUAS (gestão atual);CadSUAS;
Silvânia;(62) 3332-1432 Ramal 208;SECRETARIA DE DESENVOLVIMENTO SOCIAL;Gustavo Ferreira Rosendo;Oculto para proteção de dados (LGPD);PRAÇA PRAÇA DO ROSARIO, 440, CENTRO, CEP: 75.180-000, SILVANIA/GO;-;CadSUAS (gestão atual);CadSUAS;
Simolândia;(62) 3488-1010;SECRETARIA MUNICIPAL DE ASSISTÊNCIA SOCIAL;VILMA OLIVEIRA CELIS;"(62) 3488-1010 / (62) 3488-1009; e-mail da secretaria publicado no site oficial: smassimolandia@gmail.com";RUA Praça das Flores, 0, Centro, CEP: 73.930-000, SIMOLANDIA/GO;-;Confirmado via web;CadSUAS + https://simolandia.go.gov.br/secretarias;2026-08 — A página 'Secretarias' do portal oficial atual lista 'Vilma Oliveira Celis Magalhães' como titular da Secretaria de Assistência Social e Trabalho — mesma pessoa do CadSUAS (acréscimo do sobrenome Magalhães). Prefeita atual: Ildete Gomes Ferreira 'Dona Dete' (União Brasil).
São Domingos;(62) 3425-1516;SECRETARIA MUNICIPAL DE ASSISTENCIA SOCIAL;Ana Cleia Rosa dos Reis;(62) 3425-1050;PRAÇA PRAÇA DAS FLORES, 1, SETOR NORTE, CEP: 73.860-000, SAO DOMINGOS/GO;-;CadSUAS (gestão atual);CadSUAS;
São Francisco de Goiás;(62) 3305-7950;SECRETARIA MUNICIPAL DE ASSISTÊNCIA SOCIAL E CIDADANIA;Elisângela Leandro Ribeiro Moura;"Oculto para proteção de dados (LGPD) / (62) 3305-7723; sec.assistenciasocial@saofranciscodegoias.go.gov.br (publicados em página oficial da prefeitura)";RUA Ipamei, 0, Bairro São Paulo, CEP: 75.490-000, SAO FRANCISCO DE GOIAS/GO;-;Confirmado via web;CadSUAS + https://www-storage.voxtecnologia.com.br/?f=3392&i=publicado_106672_2025-10-09_02ba1d9c6711893f1f2a9ad782f7908a.pdf&m=sigpub.publicacao;2025-10 — Confirmação forte: no Diário Municipal AGM de 10/10/2025 ela assina ato datado de 09/10/2025 como 'Secretária Municipal de Assistência Social' de São Francisco de Goiás (texto extraído do PDF). Ela é também a primeira-dama — esposa do prefeito reeleito Cleuton Gomes de Moura (Timbó), conforme Cadastro de Autoridades 2025 do Governo de Goiás.
São João d'Aliança;(62) 3438-1513;SECRETARIA MUNICIPAL DE ASSISTÊNCIA SOCIAL;MARIA DA CONCEIÇÃO BATISTA DE ARAÚJO;Oculto para proteção de dados (LGPD);RUA GOIÁS, 243, CENTRO, CEP: 73.760-000, SAO JOAO DALIANCA/GO;-;CadSUAS (gestão atual);CadSUAS;
São João da Paraúna;(64) 3560-1133;Secretaria Municipal de Assistencia Social e Cidadania;JOSSIMARA ANGELIA FERREIRA DE SOUSA;(64) 3560-1133 / (64) 3560-1236 (telefone publicado no site oficial na página do Fundo Municipal de Assistência Social);AVENIDA Parauna, 915, Santa Inês, CEP: 75.985-000, SAO JOAO DA PARAUNA/GO;http://www.saojoaodaparauna.go.gov.br;Confirmado via web;CadSUAS + https://goias.gov.br/governo/cadastro-de-autoridade/;2025-11 — O Cadastro de Autoridades 2025 do Governo de Goiás a lista como primeira-dama do prefeito atual Ubirajara Antônio Duarte Júnior 'Juninho' (União Brasil, gestão 2025-2028), e o site oficial atual da prefeitura a lista como gestora do Fundo Municipal de Assistência Social (Decreto nº 2083/2021) — consistente com o CadSUAS (mandato até 31/12/2028). Nenhuma fonte cita outra pessoa no cargo.
São Luiz do Norte;(62) 3346-6469;SECRETARIA MUNICIPAL DE ASSISTENCIA SOCIAL;Ana Claudia da Silva Moraes;(62) 3346-6411;RUA Militao Fernandes de Alem, S/N, Nova Esperança, CEP: 76.365-000, SAO LUIZ DO NORTE/GO;-;CadSUAS (gestão atual);CadSUAS;
São Luís de Montes Belos;Oculto para proteção de dados (LGPD);SECRETARIA MUNICIPAL DE ASSISTENCIA SOCIAL;Inis Aparecida Sahium Marques Palmeira;Oculto para proteção de dados (LGPD);RUA SERRA DOURADA, 717, MONTES BELOS, CEP: 76.100-000, SAO LUIS DE MONTES BELOS/GO;http:// www.saoluisdemontesbelos.go.gov.br;CadSUAS (gestão atual);CadSUAS;
São Miguel do Araguaia;(62) 3977-7100 Ramal 7101;SECRETARIA MUNICIPAL DE ASSISTÊNCIA SOCIAL;LETICIA DE LIMA REMIGIO AMANCIO SIQUEIRA;(62) 3977-7142 Ramal 7134;AVENIDA GOIAS, 616, Centro, CEP: 76.590-000, SAO MIGUEL DO ARAGUAIA/GO;-;CadSUAS (gestão atual);CadSUAS;
São Miguel do Passa Quatro;(62) 3407-1122;SECRETARIA MUNICIPAL DE ASSISTENCIA SOCIAL;TEREZINHA DE JESUS DA COSTA SOUZA;(62) 3407-1122;RUA PRAÇA SEBASTIÃO GONÇALVES DA SILVA, 697, CENTRO, CEP: 75.185-000, SAO MIGUEL DO PASSA QUATRO/GO;http:// saomigueldopassaquatro.go.gov.br;CadSUAS (gestão atual);CadSUAS;
São Patrício;(62) 3340-0066;SECRETARIA MUNICIPAL DE ASSISTENCIA SOCIAL;Maria Aparecida de Souza Pereira;"(62) 3340-0066 / (62) 3340-0066 (telefone publicado na página da secretaria; é o número central da prefeitura, compartilhado por todas as pastas)";RUA MARIA TAVARES DE ANDRADE, 00, SETOR BOUGANVILLE, CEP: 76.343-000, SAO PATRICIO/GO;http://www.pmsaopatricio.com.br;Confirmado via web;CadSUAS + https://saopatricio.go.gov.br/secretarias/;2026-08 — A página 'Secretarias' do site oficial atual lista Maria Aparecida de Souza Pereira como Secretária de Assistência Social (endereço: Rua Maria Tavares de Andrade, S/N, Setor Bouganville). A página não exibe data de publicação explícita, mas é a estrutura vigente do portal.
São Simão;(64) 3553-9500 Ramal 9502;SECRETARIA MUNICIPAL DE ASSISTECIA SOCIAL;Karine Christina de Carvalho;"(64) 3658-4265 Ramal 9562 / secretaria@social.saosimao.go.gov.br (site oficial; o telefone publicado na página está com formatação truncada)";RUA RUA 32, QUADRA 21, LOTE S/N, 01, CENTRO, CEP: 75.890-000, SAO SIMAO/GO;-;Confirmado via web;CadSUAS + https://saosimao.go.gov.br/institucional-nb/secretaria-de-desenvolvimento-social;2026-08 — O site oficial atual (gestão São Simão e Itaguaçu) a lista como titular da pasta, hoje denominada 'Secretaria de Desenvolvimento Social' (não mais 'Assistência Social'). Ela é também a primeira-dama — esposa do prefeito Wallisson José de Freitas (Podemos), conforme Cadastro de Autoridades 2025 do Governo de Goiás — consistente com o CadSUAS (mandato até 31/12/2028).
Sítio d'Abadia;Oculto para proteção de dados (LGPD);SECRETARIA MUNICIPAL DE ASSISTÊNCIA SOCIAL;ROSANA DE CASTRO SOUZA;Oculto para proteção de dados (LGPD);RUA 15 de Agosto, 00, CENTRO, CEP: 73.990-000, SITIO DABADIA/GO;-;CadSUAS (gestão atual);CadSUAS;
Taquaral de Goiás;(62) 3384-1596;SECRETARIA MUNICIPAL DE PREVIDENCIA, ASSISTENCIA, DESENVOLVIMENTO SOCIAL E HABITAÇAO;NAYARA CHRYSTINA DE SOUSA ROSA;(62) 3384-1163 Ramal 24;PRAÇA TRES PODERES, 1000, CENTRO, CEP: 76.640-000, TAQUARAL DE GOIAS/GO;-;CadSUAS (gestão atual);CadSUAS;
Teresina de Goiás;Oculto para proteção de dados (LGPD);SECRETARIA MUNICIPAL DE ASSISTENCIA SOCIAL;Claudete de Oliveira Pimentel de Mello;Oculto para proteção de dados (LGPD) / Tel: (62) 3467-1140 | E-mails publicados no site oficial: prefeitura@teresinadegoias.go.gov.br e nenaclaudete1975@gmail.com | Endereço: Rua Bartolomeu Bueno da Silva/Praça Tiradentes, nº 43, Centro;RUA JANDIRA DE SOUZA PINTO QD 27 LOTE 20, 0, CENTRO, CEP: 73.795-000, TERESINA DE GOIAS/GO;-;Confirmado via web;CadSUAS + https://www.teresinadegoias.go.gov.br/estrutura-organizacional/;2026-08 — Site oficial atual da prefeitura lista 'Claudete Oliveira Pimentel de Mello' como Secretária de Assistência Social — mesma pessoa do CadSUAS (grafia sem o 'de': 'Claudete de Oliveira Pimentel de Mello').
Terezópolis de Goiás;Oculto para proteção de dados (LGPD);SECRETARIA DE PROMOÇÃO SOCIAL E CIDADANIA;Ana Clara Lima Guimarães de Almeida;Oculto para proteção de dados (LGPD);RUA Pirineus, 2, CENTRO, CEP: 75.175-000, TEREZOPOLIS DE GOIAS/GO;-;CadSUAS (gestão atual);CadSUAS;
Trindade;(62) 3506-7208;SECRETARIA MUNICIPAL DE ASSISTENCIA SOCIAL;ROUANE CAROLINA AZEVEDO;(62) 3506-7073;AVENIDA MANOEL MONTEIRO, 1220, CENTRO, CEP: 75.380-000, TRINDADE/GO;-;CadSUAS (gestão atual);CadSUAS;
Trombas;(62) 3374-3381;PM - SECRETARIA MUNICIPAL DE ASSISTENCIA SOCIAL;Pollyana Narciso da Silva;(62) 3374-3381;AVENIDA PRESIDENTE GETÚLIO VARGAS, 0, CENTRO, CEP: 76.460-000, TROMBAS/GO;http:// www.trombas.go.gov.br;CadSUAS (gestão atual);CadSUAS;
Três Ranchos;(64) 3967-8000 Ramal 8010;SECRETARIA MUNICIPAL DE ASSISTENCIA SOCIAL;FABRINNA FERREIRA RODRIGUES;(64) 3475-1539;AVENIDA Avenida Coronel Levino lopes, 01, Centro, CEP: 75.720-000, TRES RANCHOS/GO;-;CadSUAS (gestão atual);CadSUAS;
Turvelândia;(64) 3642-8000 Ramal 8008;SECRETARIA MUNICIPAL DO BEM ESTAR SOCIAL;ELENI LUZIA BORGES MERCHI;(64) 3642-8039;RUA MARIA MOREIRA NASCIMENTO, 153, CENTRO, CEP: 75.970-000, TURVELANDIA/GO;http://www.turvelandia.go.gov.br/;CadSUAS (gestão atual);CadSUAS;
Turvânia;(64) 3682-1768;SECRETARIA MUNICIPAL DE ASSISTENCIA SOCIAL;JOANA CANDIDA VIEIRA POLICARPIO;Oculto para proteção de dados (LGPD);RUA PEDRO LUDOVICO TEIXEIRA ESQ COM A RUA RIBEIRO SANTANA DE ARAUJO, 0, CENTRO, CEP: 76.110-000, TURVANIA/GO;http://www.turvania.go.gov.br;CadSUAS (gestão atual);CadSUAS;
Uirapuru;(62) 3342-3110 Ramal 214;SECRETARIA MUNICIPAL DE PROMOÇÃO E ASSISTENCIA SOCIAL;Maylane Akíria;(08) 0049-41053 / Tel: 0800 494 1053, Ramal 217 | E-mail: assistenciasocial@uirapuru.go.gov.br | Endereço: Avenida das Perdizes, Qd. 24 Lt. 04 e 05, S/N, Centro;AVENIDA AV DAS PERDIZES, S/N, CENTRO, CEP: 76.525-000, UIRAPURU/GO;-;Atualizado via web;https://uirapuru.go.gov.br/estrutura/secretaria-de-assistencia-social/;2026-08 — Página oficial da prefeitura (consultada em 2026-08-11) traz literalmente 'Secretária Maylane Akíria' — pessoa diferente da registrada no CadSUAS (Neuseli Xavier de Godoy). Maylane Akíria é a primeira-dama do município, esposa do prefeito Elivan Carreiro (União Brasil), reeleito em 2024 com 76,59% dos votos. Não foi localizado o decreto de nomeação com data específica.
Uruana;(62) 3344-1100;SECRETARIA MUNICIPAL DE ASSISTÊNCIA SOCIAL, CIDADANIA E TRABALHO;JUBIA PATRICIA ARRUDA RIBEIRO;Oculto para proteção de dados (LGPD);RUA ANTONIO FERREIRA DE OLIVEIRA, 270, CENTRO, CEP: 76.335-000, URUANA/GO;http:/uruana.go.gov.br;CadSUAS (gestão atual);CadSUAS;
Uruaçu;(62) 3357-4118 Ramal 0;SECRETARIA MUNICIPAL DO DESENVOLVIMENTO SOCIAL;MARCIA PEDROSA MACHADO;(62) 3357-3505 Ramal 200;RUA Corcovado esq. Av. Carioca, S/N°, Novo Rio, CEP: 76.400-000, URUACU/GO;-;CadSUAS (gestão atual);CadSUAS;
Urutaí;(64) 3465-1133;SECRETARIA MUNICIPAL DE ASSISTENCIA SOCIAL;Danielle Cordeiro do Vale Ribeiro;Oculto para proteção de dados (LGPD);RUA JOSÉ SOARES CALDEIRAS, 44, CENTRO, CEP: 75.790-000, URUTAI/GO;-;CadSUAS (gestão atual);CadSUAS;
Valparaíso de Goiás;(61) 3627-8953;SECRETARIA MUNICIPAL DE ASSISTÊNCIA SOCIAL;Joselia Cardoso Pereira Leao;(61) 3624-0007 Ramal 205 / Tels: (61) 3627-4087 / (61) 3624-0007 | E-mails: assistenciasocial@valparaisodegoias.go.gov.br e joselia@valparaisodegoias.go.gov.br | Endereço: Rua 65, Qd. 99 Lt. 03 – 2ª Etapa, Jardim Céu Azul;RUA Rua 65 Q. 99 Lt., 03, Jardim Céu Azul, CEP: 72.871-059, VALPARAISO DE GOIAS/GO;-;Confirmado via web;CadSUAS + https://valparaisodegoias.go.gov.br/secretaria/secretaria-de-assistencia-social-e-cidadania/;2026-08 — Site oficial atual lista 'Josélia Leão' como secretária — mesma pessoa do CadSUAS (Joselia Cardoso Pereira Leao). Diário Oficial do município (Decreto de 2025) também a designa como Secretária Municipal de Assistência Social (DAS-1), indicando que foi mantida na gestão 2025-2028.
Varjão;(62) 3554-1279 Ramal 01;SECRETARIA MUNICIPAL DE ASSISTENCIA SOCIAL;Janaina Martins e Almeida;Oculto para proteção de dados (LGPD);PRAÇA Moises Franco, 013, CENTRO, CEP: 75.355-000, VARJAO/GO;-;CadSUAS (gestão atual);CadSUAS;
Vianópolis;(62) 3907-0100;Secretaria de Promoção e Assistencia Social;Isabela Brito Carvalho;Oculto para proteção de dados (LGPD);RUA Dona Carolina, 510, Centro, CEP: 75.265-000, VIANOPOLIS/GO;-;CadSUAS (gestão atual);CadSUAS;
Vicentinópolis;(64) 3691-1557;Secretaria Municipal de Assistência Social, Cidadania, Trabalho, Emprego, Renda e Habitação;Nilva Gomes Pereira Ferreira;(64) 3691-1509;AVENIDA Marginal Filostro Machado Carneiro, 933, Setor Leste, CEP: 75.555-000, VICENTINOPOLIS/GO;-;CadSUAS (gestão atual);CadSUAS;
Vila Boa;(61) 3466-1221;SECRETARIA MUNICIPAL DE ASSISTÊNCIA SOCIAL;MONICA VIEIRA DOS SANTOS;(61) 3466-1239 / Tel: (61) 3466-1239 | E-mail: social@vilaboa.go.gov.br | Endereço: Rua do Estacionamento B, Qd. 26, Lt. 06, Jardim Nova Aurora;RUA RUA DO ESTACIONAMENTO B S/N QUADRA 26, LOTE 06, 00, JARDIM NOVA AURORA, CEP: 73.825-000, VILA BOA/GO;-;Confirmado via web;CadSUAS + https://www.vilaboa.go.gov.br/estrutura-organizacional/?id=61;2026-08 — Site oficial atual da prefeitura lista 'Mônica Vieira dos Santos' como Secretária de Assistência Social — mesma pessoa do CadSUAS (MONICA VIEIRA DOS SANTOS).
Vila Propício;(62) 3320-0184;SECRETARIA MUNICIPAL DE ASSISTÊNCIA SOCIAL E CIDADANIA;CLAUDINEIA MARIA LEITE LEMOS;(62) 3320-0199;RUA 05, s/n°, Centro, CEP: 76.393-000, VILA PROPICIO/GO;-;CadSUAS (gestão atual);CadSUAS;
